Calendar Year,Property ID,Property Name,Address 1,City,Primary Property Type - Self Selected,Year Built,Occupancy,Electricity - Weather Normalized Site Electricity Use (Grid and Onsite Renewables) (kWh),Electricity - Weather Normalized Site Electricity Intensity (Grid and Onsite Renewables) (kWh/ft²),Percent Electricity,Electricity - Weather Normalized Site Electricity Use (Grid and Onsite Renewables) (kWh),Annual Maximum Demand (kW),Property GFA - Calculated (Buildings) (ft²),Electric Distribution Utility,Borough,Postal Code,Site EUI (kBtu/ft2),Weather Normalized Site EUI (kBtu/ft2),Total GHG Emissions (Metric Tons CO2e),ENERGY STAR Score,longitude,latitude
2016,5314/001_2016,1900 OAKDALE AVE,1900 OAKDALE AVE,San Francisco,Commercial,1962.0,,,0.0,0,,,39996,PG&E,Bayview Hunters Point,94124,8.3,8.9,22.7,84.0,-122.39603614571048,37.73830203464728
2015,5314/001_2015,1900 OAKDALE AVE,1900 OAKDALE AVE,San Francisco,Commercial,1962.0,,,0.0,0,,,39996,PG&E,Bayview Hunters Point,94124,8.2,8.5,21.7,83.0,-122.39603614571048,37.73830203464728
2014,5314/001_2014,1900 OAKDALE AVE,1900 OAKDALE AVE,San Francisco,Commercial,1962.0,,,0.0,0,,,39996,PG&E,Bayview Hunters Point,94124,8.2,8.2,22.0,81.0,-122.39603614571048,37.73830203464728
2013,5314/001_2013,1900 OAKDALE AVE,1900 OAKDALE AVE,San Francisco,Commercial,1962.0,,,0.0,0,,,39996,PG&E,Bayview Hunters Point,94124,9.8,9.6,25.9,75.0,-122.39603614571048,37.73830203464728
2023,5314/001_2023,1900 OAKDALE AVE,1900 OAKDALE AVE,San Francisco,Commercial,1962.0,,41430.5,1.0358660866086609,100,41430.5,,39996,PG&E,Bayview Hunters Point,94124,7.8,7.8,16.6,89.0,-122.39603614571048,37.73830203464728
2024,5314/001_2024,1900 OAKDALE AVE,1900 OAKDALE AVE,San Francisco,Commercial,1962.0,,56826.1,1.4207945794579457,100,56826.1,,39996,PG&E,Bayview Hunters Point,94124,6.9,6.9,15.16,86.0,-122.39603614571048,37.73830203464728
2018,5315/051_2018,2000 Oakdale Ave,2000 OAKDALE AVE,San Francisco,Commercial,1962.0,,43921.2,1.03344,100,43921.2,,42500,PG&E,Bayview Hunters Point,94124,12.1,13.1,29.9,,-122.39791880776858,37.739421060374326
2020,5315/051_2020,2000 Oakdale Ave,2000 OAKDALE AVE,San Francisco,Commercial,1962.0,,72055.5,1.6954235294117648,100,72055.5,,42500,PG&E,Bayview Hunters Point,94124,16.6,17.3,40.8,,-122.39791880776858,37.739421060374326
2021,5315/051_2021,2000 Oakdale Ave,2000 OAKDALE AVE,San Francisco,Commercial,1962.0,,89160.1,2.097884705882353,100,89160.1,,42500,PG&E,Bayview Hunters Point,94124,18.2,19.0,43.4,,-122.39791880776858,37.739421060374326
2022,5315/051_2022,2000 Oakdale Ave,2000 OAKDALE AVE,San Francisco,Commercial,1962.0,,99045.1,2.330472941176471,100,99045.1,,42500,PG&E,Bayview Hunters Point,94124,22.2,21.3,55.3,,-122.39791880776858,37.739421060374326
2017,5315/051_2017,2000 Oakdale Ave,2000 OAKDALE AVE,San Francisco,Commercial,1962.0,,,0.0,0,,,42500,PG&E,Bayview Hunters Point,94124,11.4,12.2,30.0,,-122.39791880776858,37.739421060374326
2013,5315/051_2013,2000 Oakdale Ave,2000 OAKDALE AVE,San Francisco,Commercial,1962.0,,,0.0,0,,,42500,PG&E,Bayview Hunters Point,94124,17.2,17.2,40.5,79.0,-122.39791880776858,37.739421060374326
2012,5315/051_2012,2000 Oakdale Ave,2000 OAKDALE AVE,San Francisco,Commercial,1962.0,,,0.0,0,,,42500,PG&E,Bayview Hunters Point,94124,6.5,6.5,17.81,88.0,-122.39791880776858,37.739421060374326
2023,5315/051_2023,2000 Oakdale Ave,2000 OAKDALE AVE,San Francisco,Commercial,1962.0,,99244.2,2.3351576470588236,100,99244.2,,42500,PG&E,Bayview Hunters Point,94124,16.7,16.8,43.8,,-122.39791880776858,37.739421060374326
2018,5321/051_2018,All Hallows Community,1711 OAKDALE AVE,San Francisco,Mixed Residential,,,120802.3,1.6351371837734674,100,120802.3,,73879,PG&E,Bayview Hunters Point,94124,44.5,44.4,94.0,,-122.39270639901716,37.73561828993389
2019,5321/051_2019,All Hallows Community,1711 OAKDALE AVE,San Francisco,Mixed Residential,,,120468.1,1.630613570838804,100,120468.1,,73879,PG&E,Bayview Hunters Point,94124,42.2,42.5,89.5,,-122.39270639901716,37.73561828993389
2020,5321/051_2020,All Hallows Community,1711 OAKDALE AVE,San Francisco,Mixed Residential,,,130446.2,1.7656736014293641,100,130446.2,,73879,PG&E,Bayview Hunters Point,94124,45.0,45.4,93.7,,-122.39270639901716,37.73561828993389
2021,5321/051_2021,All Hallows Community,1711 OAKDALE AVE,San Francisco,Mixed Residential,,,120408.9,1.629812260588259,100,120408.9,,73879,PG&E,Bayview Hunters Point,94124,43.6,43.6,88.2,,-122.39270639901716,37.73561828993389
2022,5321/051_2022,All Hallows Community,1711 OAKDALE AVE,San Francisco,Mixed Residential,,,114098.7,1.544399626416167,100,114098.7,,73879,PG&E,Bayview Hunters Point,94124,44.2,43.7,92.2,,-122.39270639901716,37.73561828993389
2023,5321/051_2023,All Hallows Community,1711 OAKDALE AVE,San Francisco,Mixed Residential,,,78743.8,1.0658482112643648,100,78743.8,,73879,PG&E,Bayview Hunters Point,94124,39.6,39.7,82.2,,-122.39270639901716,37.73561828993389
2024,5321/051_2024,All Hallows Community,1711 OAKDALE AVE,San Francisco,Mixed Residential,,,79810.6,1.0802880385495202,100,79810.6,,73879,PG&E,Bayview Hunters Point,94124,39.5,39.1,80.65,,-122.39270639901716,37.73561828993389
2018,5332/023_2018,75 INDUSTRIAL ST,75 INDUSTRIAL ST,San Francisco,Commercial,1956.0,,652114.6,36.228588888888886,100,652114.6,,18000,PG&E,Bayview Hunters Point,94124,126.8,126.8,159.8,,-122.40086437438924,37.73921659991893
2021,5332/023_2021,75 INDUSTRIAL ST,75 INDUSTRIAL ST,San Francisco,Commercial,1956.0,,2870703.4,159.4835222222222,100,2870703.4,,18000,PG&E,Bayview Hunters Point,94124,547.3,547.3,674.2,,-122.40086437438924,37.73921659991893
2022,5332/023_2022,75 INDUSTRIAL ST,75 INDUSTRIAL ST,San Francisco,Commercial,1956.0,,2597127.9,144.28488333333334,100,2597127.9,,18000,PG&E,Bayview Hunters Point,94124,495.5,495.5,610.3,,-122.40086437438924,37.73921659991893
2017,5332/023_2017,75 INDUSTRIAL ST,75 INDUSTRIAL ST,San Francisco,Commercial,1956.0,,,0.0,0,,,18000,PG&E,Bayview Hunters Point,94124,130.6,130.6,164.7,,-122.40086437438924,37.73921659991893
2018,5340/009_2018,YMCA Bayview,1601 LANE ST,San Francisco,Commercial,1949.0,,190177.8,5.1399405405405405,100,190177.8,,37000,PG&E,Bayview Hunters Point,94124,59.9,59.5,140.2,,-122.38958112741082,37.73180470605402
2020,5340/009_2020,YMCA Bayview,1601 LANE ST,San Francisco,Commercial,1949.0,,110407.7,2.983991891891892,100,110407.7,,37000,PG&E,Bayview Hunters Point,94124,21.3,22.1,46.7,,-122.38958112741082,37.73180470605402
2021,5340/009_2021,YMCA Bayview,1601 LANE ST,San Francisco,Commercial,1949.0,,94429.9,2.5521594594594594,100,94429.9,,37000,PG&E,Bayview Hunters Point,94124,23.5,23.4,48.5,,-122.38958112741082,37.73180470605402
2022,5340/009_2022,YMCA Bayview,1601 LANE ST,San Francisco,Commercial,1949.0,,118760.1,3.209732432432433,100,118760.1,,37000,PG&E,Bayview Hunters Point,94124,31.3,30.2,67.7,,-122.38958112741082,37.73180470605402
2017,5340/009_2017,YMCA Bayview,1601 LANE ST,San Francisco,Commercial,1949.0,,,0.0,0,,,37000,PG&E,Bayview Hunters Point,94124,48.9,50.1,120.7,,-122.38958112741082,37.73180470605402
2016,5340/009_2016,YMCA Bayview,1601 LANE ST,San Francisco,Commercial,1949.0,,,0.0,0,,,37000,PG&E,Bayview Hunters Point,94124,54.4,55.4,143.0,,-122.38958112741082,37.73180470605402
2015,5340/009_2015,YMCA Bayview,1601 LANE ST,San Francisco,Commercial,1949.0,,,0.0,0,,,37000,PG&E,Bayview Hunters Point,94124,44.4,46.2,117.6,,-122.38958112741082,37.73180470605402
2014,5340/009_2014,YMCA Bayview,1601 LANE ST,San Francisco,Commercial,1949.0,,,0.0,0,,,37000,PG&E,Bayview Hunters Point,94124,44.9,49.7,120.8,,-122.38958112741082,37.73180470605402
2013,5340/009_2013,YMCA Bayview,1601 LANE ST,San Francisco,Commercial,1949.0,,,0.0,0,,,37000,PG&E,Bayview Hunters Point,94124,56.1,52.4,139.8,,-122.38958112741082,37.73180470605402
2012,5340/009_2012,YMCA Bayview,1601 LANE ST,San Francisco,Commercial,1949.0,,,0.0,0,,,37000,PG&E,Bayview Hunters Point,94124,39.0,39.0,96.1,93.0,-122.38958112741082,37.73180470605402
2023,5340/009_2023,YMCA Bayview,1601 LANE ST,San Francisco,Commercial,1949.0,,125960.8,3.404345945945946,100,125960.8,,37000,PG&E,Bayview Hunters Point,94124,38.1,39.0,82.6,,-122.38958112741082,37.73180470605402
2024,5340/009_2024,YMCA Bayview,1601 LANE ST,San Francisco,Commercial,1949.0,,125014.4,3.3787675675675675,100,125014.4,,37000,PG&E,Bayview Hunters Point,94124,37.0,35.4,78.46,,-122.38958112741082,37.73180470605402
2018,5369/070_2018,80 ELMIRA ST,80 ELMIRA ST,San Francisco,Commercial,1954.0,,34432.4,3.386349331235248,100,34432.4,,10168,PG&E,Bayview Hunters Point,94124,15.9,15.9,10.6,,-122.40424810920028,37.73702172343879
2021,5369/070_2021,80 ELMIRA ST,80 ELMIRA ST,San Francisco,Commercial,1954.0,,33378.3,3.2826809598741153,100,33378.3,,10168,PG&E,Bayview Hunters Point,94124,15.5,15.8,9.2,,-122.40424810920028,37.73702172343879
2022,5369/070_2022,80 ELMIRA ST,80 ELMIRA ST,San Francisco,Commercial,1954.0,,32908.8,3.236506687647522,100,32908.8,,10168,PG&E,Bayview Hunters Point,94124,15.2,15.0,9.9,,-122.40424810920028,37.73702172343879
2017,5369/070_2017,80 ELMIRA ST,80 ELMIRA ST,San Francisco,Commercial,1954.0,,,0.0,0,,,10168,PG&E,Bayview Hunters Point,94124,15.1,15.1,10.7,,-122.40424810920028,37.73702172343879
2016,5369/070_2016,80 ELMIRA ST,80 ELMIRA ST,San Francisco,Commercial,1954.0,,,0.0,0,,,10168,PG&E,Bayview Hunters Point,94124,13.6,13.6,10.8,,-122.40424810920028,37.73702172343879
2015,5369/070_2015,80 ELMIRA ST,80 ELMIRA ST,San Francisco,Commercial,1954.0,,,0.0,0,,,10168,PG&E,Bayview Hunters Point,94124,12.2,12.2,9.3,,-122.40424810920028,37.73702172343879
2014,5369/070_2014,80 ELMIRA ST,80 ELMIRA ST,San Francisco,Commercial,1954.0,,,0.0,0,,,10168,PG&E,Bayview Hunters Point,94124,11.4,10.8,8.7,,-122.40424810920028,37.73702172343879
2023,5369/070_2023,80 ELMIRA ST,80 ELMIRA ST,San Francisco,Commercial,1954.0,,35792.9,3.520151455546814,100,35792.9,,10168,PG&E,Bayview Hunters Point,94124,16.1,14.9,10.31,,-122.40424810920028,37.73702172343879
2018,5375/059_2018,701 BAY SHORE BLVD,701 BAY SHORE BLVD,San Francisco,Commercial,1952.0,,127949.1,4.26497,100,127949.1,,30000,PG&E,Bayview Hunters Point,94124,21.2,23.1,41.4,,-122.40613867872784,37.73597064215265
2017,5375/059_2017,701 BAY SHORE BLVD,701 BAY SHORE BLVD,San Francisco,Commercial,1952.0,,,0.0,0,,,30000,PG&E,Bayview Hunters Point,94124,20.7,22.6,41.7,,-122.40613867872784,37.73597064215265
2014,5375/059_2014,701 BAY SHORE BLVD,701 BAY SHORE BLVD,San Francisco,Commercial,1952.0,,,0.0,0,,,30000,PG&E,Bayview Hunters Point,94124,15.8,15.8,34.5,,-122.40613867872784,37.73597064215265
2013,5375/059_2013,701 BAY SHORE BLVD,701 BAY SHORE BLVD,San Francisco,Commercial,1952.0,,,0.0,0,,,30000,PG&E,Bayview Hunters Point,94124,16.8,15.4,34.0,,-122.40613867872784,37.73597064215265
2012,5375/059_2012,701 BAY SHORE BLVD,701 BAY SHORE BLVD,San Francisco,Commercial,1952.0,,,0.0,0,,,30000,PG&E,Bayview Hunters Point,94124,1.0,1.0,2.61,,-122.40613867872784,37.73597064215265
2023,5375/059_2023,701 BAY SHORE BLVD,701 BAY SHORE BLVD,San Francisco,Commercial,1952.0,,0.0,0.0,0,0.0,,30000,PG&E,Bayview Hunters Point,94124,0.1,0.1,0.19,,-122.40613867872784,37.73597064215265
2024,5375/059_2024,701 BAY SHORE BLVD,701 BAY SHORE BLVD,San Francisco,Commercial,1952.0,,112234.7,3.7411566666666665,100,112234.7,,30000,PG&E,Bayview Hunters Point,94124,24.0,24.0,43.36,,-122.40613867872784,37.73597064215265
2018,5414/021_2018,1790 Yosemite Ave,1790 YOSEMITE AVE,San Francisco,Commercial,1946.0,,70049.8,3.467811881188119,100,70049.8,,20200,PG&E,Bayview Hunters Point,94124,17.9,19.3,23.4,42.0,-122.3948449116956,37.728952070277366
2019,5414/021_2019,1790 Yosemite Ave,1790 YOSEMITE AVE,San Francisco,Commercial,1946.0,,88060.9,4.359450495049504,100,88060.9,,20200,PG&E,Bayview Hunters Point,94124,23.0,23.1,29.9,29.0,-122.3948449116956,37.728952070277366
2020,5414/021_2020,1790 Yosemite Ave,1790 YOSEMITE AVE,San Francisco,Commercial,1946.0,,71510.9,3.5401435643564354,100,71510.9,,20200,PG&E,Bayview Hunters Point,94124,19.6,20.1,24.3,,-122.3948449116956,37.728952070277366
2021,5414/021_2021,1790 Yosemite Ave,1790 YOSEMITE AVE,San Francisco,Commercial,1946.0,,82270.3,4.072787128712871,100,82270.3,,20200,PG&E,Bayview Hunters Point,94124,24.2,24.6,30.2,,-122.3948449116956,37.728952070277366
2022,5414/021_2022,1790 Yosemite Ave,1790 YOSEMITE AVE,San Francisco,Commercial,1946.0,,83010.7,4.109440594059405,100,83010.7,,20200,PG&E,Bayview Hunters Point,94124,24.5,23.8,30.6,22.0,-122.3948449116956,37.728952070277366
2017,5414/021_2017,1790 Yosemite Ave,1790 YOSEMITE AVE,San Francisco,Commercial,1946.0,,,0.0,0,,,20200,PG&E,Bayview Hunters Point,94124,28.5,29.9,36.6,18.0,-122.3948449116956,37.728952070277366
2016,5414/021_2016,1790 Yosemite Ave,1790 YOSEMITE AVE,San Francisco,Commercial,1946.0,,,0.0,0,,,20200,PG&E,Bayview Hunters Point,94124,24.4,26.5,34.7,23.0,-122.3948449116956,37.728952070277366
2015,5414/021_2015,1790 Yosemite Ave,1790 YOSEMITE AVE,San Francisco,Commercial,1946.0,,,0.0,0,,,20200,PG&E,Bayview Hunters Point,94124,26.7,27.7,36.4,18.0,-122.3948449116956,37.728952070277366
2014,5414/021_2014,1790 Yosemite Ave,1790 YOSEMITE AVE,San Francisco,Commercial,1946.0,,,0.0,0,,,20200,PG&E,Bayview Hunters Point,94124,28.0,32.5,37.9,54.0,-122.3948449116956,37.728952070277366
2013,5414/021_2013,1790 Yosemite Ave,1790 YOSEMITE AVE,San Francisco,Commercial,1946.0,,,0.0,0,,,20200,PG&E,Bayview Hunters Point,94124,41.0,38.2,56.1,,-122.3948449116956,37.728952070277366
2023,5414/021_2023,1790 Yosemite Ave,1790 YOSEMITE AVE,San Francisco,Commercial,1946.0,,78899.7,3.905925742574257,100,78899.7,,20200,PG&E,Bayview Hunters Point,94124,23.8,24.0,30.3,45.0,-122.3948449116956,37.728952070277366
2024,5414/021_2024,1790 Yosemite Ave,1790 YOSEMITE AVE,San Francisco,Commercial,1946.0,,88021.8,4.357514851485148,100,88021.8,,20200,PG&E,Bayview Hunters Point,94124,23.9,23.5,29.65,39.0,-122.3948449116956,37.728952070277366
2018,5414/031_2018,"5487-SAN FRANCISCO, CA",5300 3RD STREET,San Francisco,Commercial,2000.0,,373672.9,28.502890922959576,100,373672.9,,13110,PG&E,Bayview Hunters Point,94124,146.9,146.9,124.3,4.0,-122.3932664476681,37.729005677864855
2019,5414/031_2019,"5487-SAN FRANCISCO, CA",5300 3RD STREET,San Francisco,Commercial,2000.0,,323220.0,24.65446224256293,100,323220.0,,13110,PG&E,Bayview Hunters Point,94124,104.9,105.3,92.1,11.0,-122.3932664476681,37.729005677864855
2020,5414/031_2020,"5487-SAN FRANCISCO, CA",5300 3RD STREET,San Francisco,Commercial,2000.0,,353458.9,26.961014492753623,100,353458.9,,13110,PG&E,Bayview Hunters Point,94124,92.8,92.8,80.5,,-122.3932664476681,37.729005677864855
2021,5414/031_2021,"5487-SAN FRANCISCO, CA",5300 3RD STREET,San Francisco,Commercial,2000.0,,,0.0,0,,,13110,PG&E,Bayview Hunters Point,94124,90.5,90.5,81.0,,-122.3932664476681,37.729005677864855
2022,5414/031_2022,"5487-SAN FRANCISCO, CA",5300 3RD STREET,San Francisco,Commercial,2000.0,,350964.0,26.77070938215103,100,350964.0,,13110,PG&E,Bayview Hunters Point,94124,94.9,95.3,84.5,10.0,-122.3932664476681,37.729005677864855
2017,5414/031_2017,"5487-SAN FRANCISCO, CA",5300 3RD STREET,San Francisco,Commercial,2000.0,,,0.0,0,,,13110,PG&E,Bayview Hunters Point,94124,138.7,138.7,127.7,43.0,-122.3932664476681,37.729005677864855
2016,5414/031_2016,"5487-SAN FRANCISCO, CA",5300 3RD STREET,San Francisco,Commercial,2000.0,,,0.0,0,,,13110,PG&E,Bayview Hunters Point,94124,103.3,,195.8,,-122.3932664476681,37.729005677864855
2015,5414/031_2015,"5487-SAN FRANCISCO, CA",5300 3RD STREET,San Francisco,Commercial,2000.0,,,0.0,0,,,13110,PG&E,Bayview Hunters Point,94124,114.7,116.8,117.3,50.0,-122.3932664476681,37.729005677864855
2014,5414/031_2014,"5487-SAN FRANCISCO, CA",5300 3RD STREET,San Francisco,Commercial,2000.0,,,0.0,0,,,13110,PG&E,Bayview Hunters Point,94124,103.5,103.5,109.3,52.0,-122.3932664476681,37.729005677864855
2013,5414/031_2013,"5487-SAN FRANCISCO, CA",5300 3RD STREET,San Francisco,Commercial,2000.0,,,0.0,0,,,13110,PG&E,Bayview Hunters Point,94124,95.7,95.1,100.7,61.0,-122.3932664476681,37.729005677864855
2023,5414/031_2023,"5487-SAN FRANCISCO, CA",5300 3RD STREET,San Francisco,Commercial,2000.0,,348045.0,26.548054919908466,100,348045.0,,13110,PG&E,Bayview Hunters Point,94124,93.4,93.6,86.2,10.0,-122.3932664476681,37.729005677864855
2024,5414/031_2024,"5487-SAN FRANCISCO, CA",5300 3RD STREET,San Francisco,Commercial,2000.0,,340664.0,25.98504958047292,100,340664.0,,13110,PG&E,Bayview Hunters Point,94124,90.4,90.3,78.33,11.0,-122.3932664476681,37.729005677864855
2022,5415/007_2022,1534-San Francisco,1700 Egbert Ave,San Francisco,Commercial,1997.0,,36491.0,0.578313443953153,100,36491.0,,63099,PG&E,Bayview Hunters Point,94124,3.1,3.1,12.8,,-122.39652589599118,37.72783847000797
2023,5415/007_2023,1534-San Francisco,1700 Egbert Ave,San Francisco,Commercial,1997.0,,52588.0,0.8334204979476695,100,52588.0,,63099,PG&E,Bayview Hunters Point,94124,4.8,4.8,20.9,,-122.39652589599118,37.72783847000797
2024,5415/007_2024,1534-San Francisco,1700 Egbert Ave,San Francisco,Commercial,1997.0,,15881.0,0.25168386186785846,100,15881.0,,63099,PG&E,Bayview Hunters Point,94124,46.8,46.7,195.45,,-122.39652589599118,37.72783847000797
2018,5419/006_2018,Bayview Senior Housing,5545 3RD ST,San Francisco,Mixed Residential,1999.0,,215125.6,3.922500182335351,100,215125.6,,54844,PG&E,Bayview Hunters Point,94124,25.7,26.0,87.7,77.0,-122.39311627513204,37.727092692313654
2019,5419/006_2019,Bayview Senior Housing,5545 3RD ST,San Francisco,Mixed Residential,1999.0,,217749.3,3.970339508423893,100,217749.3,,54844,PG&E,Bayview Hunters Point,94124,26.4,26.5,89.8,77.0,-122.39311627513204,37.727092692313654
2020,5419/006_2020,Bayview Senior Housing,5545 3RD ST,San Francisco,Mixed Residential,1999.0,,218502.1,3.9840657136605646,100,218502.1,,54844,PG&E,Bayview Hunters Point,94124,27.3,27.6,89.5,,-122.39311627513204,37.727092692313654
